Address,Lat,Lon
175 BT BATOK WEST AVE 8,1.3456957,103.7418168
213 BT BATOK ST 21,1.3468062,103.7524981
215 BT BATOK ST 21,1.3468005,103.7534938
239 BT BATOK EAST AVE 5,1.3503071,103.7551238
240 BT BATOK EAST AVE 5,1.3505337,103.7539471
242 BT BATOK EAST AVE 5,1.3507872,103.7558787
237 BT BATOK EAST AVE 5,1.3495123,103.7552337
210 BT BATOK ST 21,1.345503,103.7498727
108 BT BATOK WEST AVE 6,1.3474563,103.7466016
249 BT BATOK EAST AVE 5,1.3507433,103.7565454
107 BT BATOK WEST AVE 6,1.3478127,103.7466169
105 BT BATOK CTRL,1.3486251,103.7471577
260 BT BATOK EAST AVE 4,1.3509445,103.7589259
183 BT BATOK WEST AVE 8,1.3463279,103.743333
230 BT BATOK EAST AVE 3,1.3477621,103.754939
124 BT BATOK CTRL,1.3511584,103.7472488
308 BT BATOK ST 31,1.3585281,103.7481278
236 BT BATOK EAST AVE 5,1.3496457,103.7554858
254 BT BATOK EAST AVE 4,1.3497044,103.7580206
257 BT BATOK EAST AVE 4,1.35117,103.7579303
218 BT BATOK ST 21,1.3472353,103.7543086
122 BT BATOK CTRL,1.351953,103.7470673
125 BT BATOK CTRL,1.3515262,103.7468867
31 TAMAN HO SWEE,1.288562,103.8317129
105 DEPOT RD,42.7274197,-71.5792107
107 DEPOT RD,42.7274084,-71.5788061
43 TELOK BLANGAH RISE,1.270435,103.8232283
65 TELOK BLANGAH DR,1.2741756,103.8104415
6 EVERTON PK,1.2767244,103.8384788
101 BT PURMEI RD,1.2715396,103.825747
1 REDHILL CL,1.2843244,103.8178077
12 TAMAN HO SWEE,1.2878713,103.8327211
8 JLN BT HO SWEE,1.287463,103.832275
106 HENDERSON CRES,1.2896292,103.8222827
112 BT PURMEI RD,1.2745295,103.8259281
68 TELOK BLANGAH HTS,1.2753539,103.8099914
87 ZION RD,1.2911276,103.8327019
47 LENGKOK BAHRU,1.2871826,103.8117999
104 SPOTTISWOODE PK RD,1.2744804,103.8348949
25 TELOK BLANGAH CRES,1.2764001,103.8192299
611 CLEMENTI WEST ST 1,1.3038022,103.7695145
510 WEST COAST DR,1.3108762,103.7607331
407 CLEMENTI AVE 1,1.3103244,103.7677943
362 CLEMENTI AVE 2,1.3127272,103.7699671
409 CLEMENTI AVE 1,1.3114922,103.7683375
429 CLEMENTI AVE 3,1.3129137,103.7628152
426 CLEMENTI AVE 3,1.3115888,103.7641731
330 CLEMENTI AVE 2,1.3137297,103.7677945
432 CLEMENTI AVE 3,1.3140671,103.762702
507 WEST COAST DR,1.3121203,103.7607331
403 CLEMENTI AVE 1,1.3080239,103.7678745
402 CLEMENTI AVE 1,1.307551,103.7677503
345 CLEMENTI AVE 5,1.3176728,103.7690165
518 WEST COAST RD,1.3082513,103.7590131
603 CLEMENTI WEST ST 1,1.3049124,103.7672512
701 WEST COAST RD,1.3076532,103.7612762
449 CLEMENTI AVE 3,1.3134143,103.7648974
379 CLEMENTI AVE 5,1.3179359,103.7677943
118 CLEMENTI ST 13,1.3249363,103.7719595
359 CLEMENTI AVE 2,1.3134596,103.7698766
333 CLEMENTI AVE 2,1.3151566,103.7674322
308 CLEMENTI AVE 4,1.3210521,103.7668438
302 CLEMENTI AVE 4,1.3217585,103.7648974
347 CLEMENTI AVE 5,1.3171692,103.770714
709 CLEMENTI WEST ST 2,1.3053075,103.7620004
716 CLEMENTI WEST ST 2,1.302303,103.7628152
101 CLEMENTI ST 14,1.322102,103.7688807
342 CLEMENTI AVE 5,1.3182164,103.7699671
340 CLEMENTI AVE 5,1.318802,103.7699671
114 CLEMENTI ST 13,1.3237749,103.7707819
206 CLEMENTI AVE 6,1.3214811,103.7621815
5 YUNG PING RD,1.3300799,103.7219284
6 YUNG PING RD,1.3302612,103.7219013
113 TAO CHING RD,1.3331206,103.7241766
142 HU CHING RD,1.329068,103.7233329
171 BOON LAY DR,1.3466731,103.7074913
207 BOON LAY PL,1.3467373,103.7134893
425 JURONG WEST AVE 1,1.3511433,103.7244401
462 JURONG WEST ST 41,1.3506357,103.7223552
475 JURONG WEST ST 41,1.3480631,103.7249828
474 JURONG WEST ST 41,1.3480683,103.7240777
528 JURONG WEST ST 52,1.3483286,103.7170188
480 JURONG WEST ST 41,1.3468209,103.7244394
514 JURONG WEST ST 52,1.3469902,103.7204574
437 JURONG WEST AVE 1,1.3518704,103.7238065
451 JURONG WEST ST 42,1.351899,103.7187384
449 JURONG WEST ST 42,1.3523433,103.7184637
403 JURONG WEST ST 42,1.3538264,103.7214044
430 JURONG WEST AVE 1,1.3519117,103.725691
486 JURONG WEST AVE 1,1.3487264,103.7263386
